type AE1__EXPERIMENT_TYPE__DM
expfactor AE1__EXPERIMENT_EXPFACTOR__DM
exp_measurementType AE1__EXPERIMENT_MEASTYPE__DM
ba_age AE1__ASSAY_AGE__DM
ba_biometric AE1__ASSAY_BIOMETRIC__DM
ba_cellline AE1__ASSAY_CELLLINE__DM
ba_celltype AE1__ASSAY_CELLTYPE__DM
ba_clinhistory AE1__ASSAY_CLINHISTORY__DM
ba_clininfo AE1__ASSAY_CLININFO__DM
ba_clintreatment AE1__ASSAY_CLINTREATMENT__DM
ba_compound AE1__ASSAY_COMPOUND__DM
ba_cultivar AE1__ASSAY_CULTIVAR__DM
ba_devstage AE1__ASSAY_DEVSTAGE__DM
ba_diseaselocation AE1__ASSAY_DISEASELOC__DM
ba_diseasestaging AE1__ASSAY_DISEASESTAGING__DM
ba_diseasestate AE1__ASSAY_DISEASESTATE__DM
ba_dose AE1__ASSAY_DOSE__DM
ba_ecotype AE1__ASSAY_ECOTYPE__DM
ba_envhistory AE1__ASSAY_ENVHISTORY__DM
ba_familyhistory AE1__ASSAY_FAMILYHISTORY__DM
ba_generation AE1__ASSAY_GENERATION__DM
ba_genmodif AE1__ASSAY_GENMODIF__DM
ba_genotype AE1__ASSAY_GENOTYPE__DM
ba_growthcondition AE1__ASSAY_GROWTHCONDITION__DM
ba_histology AE1__ASSAY_HISTOLOGY__DM
ba_indgeneticchar AE1__ASSAY_INDGENETICCHAR__DM
ba_individual AE1__ASSAY_INDIVIDUAL__DM
ba_infect AE1__ASSAY_INFECT__DM
ba_initialTimePoint AE1__ASSAY_INITIALTIME__DM
ba_injury AE1__ASSAY_INJURY__DM
ba_light AE1__ASSAY_LIGHT__DM
ba_materialType AE1__ASSAY_MATERIALTYPE__DM
ba_media AE1__ASSAY_MEDIA__DM
ba_observation AE1__ASSAY_OBSERVATION__DM
ba_organism AE1__ASSAY_ORGANISM__DM
ba_organismpart AE1__ASSAY_ORGANISMPART__DM
ba_organismstatus AE1__ASSAY_ORGANISMSTATUS__DM
ba_population AE1__ASSAY_POPULATION__DM
ba_protocoltype AE1__ASSAY_PROTOCOLTYPE__DM
ba_performer AE1__ASSAY_PERFORMER__DM
ba_phenotype AE1__ASSAY_PHENOTYPE__DM
ba_qcdescrtype AE1__ASSAY_QCDESCRTYPE__DM
ba_replicate AE1__ASSAY_REPLICATE__DM
ba_RNAi AE1__ASSAY_RNAI__DM
ba_sex AE1__ASSAY_SEX__DM
ba_sourceProvider AE1__ASSAY_SOURCEPROVIDER__DM
ba_strainorline AE1__ASSAY_STRAINORLINE__DM
ba_targetcelltype AE1__ASSAY_TARGETCELLTYPE__DM
ba_temperature AE1__ASSAY_TEMPERATURE__DM
ba_testtype AE1__ASSAY_TESTTYPE__DM
ba_testresult AE1__ASSAY_TESTRESULT__DM
ba_test AE1__ASSAY_TEST__DM
ba_time AE1__ASSAY_TIME__DM
ba_tumorgrading AE1__ASSAY_TUMORGRADING__DM
ba_vehicle AE1__ASSAY_VEHICLE__DM
bs_age AE1__SAMPLE_AGE__DM
bs_biometric AE1__SAMPLE_BIOMETRIC__DM
bs_cellline AE1__SAMPLE_CELLLINE__DM
bs_celltype AE1__SAMPLE_CELLTYPE__DM
bs_clinhistory AE1__SAMPLE_CLINHISTORY__DM
bs_clininfo AE1__SAMPLE_CLININFO__DM
bs_clintreatment AE1__SAMPLE_CLINTREATMENT__DM
bs_cultivar AE1__SAMPLE_CULTIVAR__DM
bs_devstage AE1__SAMPLE_DEVSTAGE__DM
bs_diseaseloc AE1__SAMPLE_DISEASELOC__DM
bs_diseasestaging AE1__SAMPLE_DISEASESTAGING__DM
bs_diseasestate AE1__SAMPLE_DISEASESTATE__DM
bs_ecotype AE1__SAMPLE_ECOTYPE__DM
bs_envhistory AE1__SAMPLE_ENVHISTORY__DM
bs_familyhistory AE1__SAMPLE_FAMILYHISTORY__DM
bs_genmodif AE1__SAMPLE_GENMODIF__DM
bs_genotype AE1__SAMPLE_GENOTYPE__DM
bs_histology AE1__SAMPLE_HISTOLOGY__DM
bs_indgeneticchar AE1__SAMPLE_INDGENETICCHAR__DM
bs_individual AE1__SAMPLE_INDIVIDUAL__DM
bs_initialtime AE1__SAMPLE_INITIALTIME__DM
bs_observation AE1__SAMPLE_OBSERVATION__DM
bs_organismpart AE1__SAMPLE_ORGANISMPART__DM
bs_organismstatus AE1__SAMPLE_ORGANISMSTATUS__DM
bs_phenotype AE1__SAMPLE_PHENOTYPE__DM
bs_sex AE1__SAMPLE_SEX__DM
bs_sourceProvider AE1__SAMPLE_SOURCEPROVIDER__DM
bs_strainorline AE1__SAMPLE_STRAINORLINE__DM
bs_targetcelltype AE1__SAMPLE_TARGETCELLTYPE__DM
bs_test AE1__SAMPLE_TEST__DM
bs_testresult AE1__SAMPLE_TESTRESULT__DM
bs_testtype AE1__SAMPLE_TESTTYPE__DM
bs_tumorgrading AE1__SAMPLE_TUMORGRADING__DM
ensfamily AE2__GENE_ENSFAMILY__DM
image AE2__GENE_IMAGE__DM
orf AE2__GENE_ORF__DM
ortholog AE2__GENE_ORTHOLOG__DM
omim AE2__GENE_OMIM__DM
disease AE2__GENE_DISEASE__DM
interproterm AE2__GENE_INTERPROTERM__DM
HMDB AE2__GENE_HMDB__DM
ChEBI AE2__GENE_CHEBI__DM
CAS AE2__GENE_CAS__DM
UniProtMetEnz AE2__GENE_UniProtMetEnz__DM
keyword AE2__GENE_KEYWORD__DM
pathway AE2__GENE_PATHWAY__DM
chemformula AE2__GENE_CHEMFORMULA__DM
dbxref AE2__GENE_DBXREF__DM
